id,title,artists,releasename,releaseyear,releaseurl,cd,track,volume,spotify_id
65,Rooftop,Nico Santos,Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,2,5,100,1eMWdrMNzPuGOwsAeKlXBW
66,So Far Away,"Martin Garrix,David Guetta,Jamie Scott,Romy Dya",Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,2,6,100,6FOpPA0a80RuBqqgDozvja
67,Tip Toe,"Jason Derulo,French Montana",Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,2,7,100,0M218FqIOjL6RsukqLx7ut
68,Sick Boy,The Chainsmokers,Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,2,8,100,58kZ9spgxmlEznXGu6FPdQ
69,Crazy,"Lost Frequencies,Zonderling",Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,2,9,100,23TwR29GSeJBfXnXhmDlwR
70,Breathe,"Jax Jones,Ina Wroldsen",Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,2,10,100,2ctvdKmETyOzPb2GiJJT53
71,Strangers,Sigrid,Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,2,11,100,5fpq1wF8xa5tSSlcKHdmGQ
72,Dreamer,Axwell Λ Ingrosso,Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,2,12,100,1RDvyOk4WtPCtoqciJwVn8
73,Egal,"Anstandslos & Durchgeknallt,Jasmiina",Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,2,13,100,0FcZFGEfF8gaYxYIfFinKk
74,Cola (Robin Schulz Remix),"Camelphat,Elderbrook",Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,2,14,100,7G0AyhugxY5DuzZdnoTpQV
75,Dirty Sexy Money,"David Guetta,Afrojack,Charli XCX,French Montana",Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,2,15,100,0tPQPaOKM32WgMSbPCYyRH
76,Tell Me You Love Me,Demi Lovato,Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,2,16,100,21RCuMVSlblTmyYm2DnPCR
77,Going Up,Mario Novembre,Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,2,17,100,3iltRlox3jEeSKuqdW88EK
78,My My My!,Troye Sivan,Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,2,18,100,4NiehSBQthimPzRsVeOgCT
79,Hearts Ain’t Gonna Lie,"Arlissa,Jonas Blue",Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,2,19,100,6B9cqNooxIyPfr3P5EB8LA
80,Dancing,Kylie Minogue,Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,2,20,100,0GjEhVFGZW8afUYGChu3Rr
81,I Miss You,"Clean Bandit,Julia Michaels",Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,2,21,100,1oTo3ijRbaDAtrjJrGAPSw
